0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,y
13,28,40,47,44,61,71,79,44,63,74,84,40,58,69,78,34,46,55,62,15,28,34,34,51,61,69,36,54,65,75,34,51,61,70,30,42,50,57,12,19,21,37,46,54,24,41,52,61,25,39,49,58,25,34,41,48,7,13,26,34,42,18,32,42,50,22,32,40,48,27,32,37,43,14,22,30,37,20,30,38,46,26,32,39,46,32,35,39,43,16,26,34,6,20,30,40,12,19,28,36,19,20,24,29,9,17,18,9,16,24,24,15,17,23,33,28,26,27,7,27,12,11,16,33,21,17,19,42,35,32,30,35,19,12,12,41,27,21,19,50,42,38,35,18,30,39,6,15,25,34,15,14,18,24,11,20,23,8,9,16,31,23,19,18,9,34,17,9,8,42,33,27,23,43,26,16,9,51,42,35,30,17,28,37,8,9,16,23,10,20,25,15,11,11,9,35,25,18,14,45,34,27,21,12,20,28,8,16,7,0
12,26,37,45,44,61,71,79,43,63,74,84,40,58,69,79,33,46,55,63,13,25,32,33,51,60,68,34,53,64,74,32,50,61,70,28,40,49,57,11,18,22,38,48,56,25,42,53,62,25,40,50,60,24,34,42,49,7,15,28,37,45,19,34,44,53,22,33,43,51,26,32,38,44,14,24,32,40,20,30,39,48,24,31,39,47,30,33,38,43,17,26,35,5,20,30,40,10,18,28,37,18,19,23,29,9,18,18,8,15,24,24,14,16,23,32,26,25,26,8,27,11,9,16,33,19,15,18,41,34,30,29,36,18,10,11,41,26,19,17,49,41,36,33,19,30,40,6,15,26,36,14,13,18,25,10,20,23,7,9,17,31,22,19,18,9,34,17,8,9,42,32,26,23,44,26,16,9,52,41,35,30,18,29,39,8,9,17,24,10,20,25,15,11,12,9,36,25,19,14,46,35,27,21,12,21,29,8,16,8,0
13,26,38,46,43,60,70,78,43,62,73,82,41,58,68,78,35,47,55,63,13,25,33,33,49,59,67,34,53,63,72,32,50,60,69,29,41,49,57,12,19,22,37,47,55,24,42,52,61,25,41,50,59,24,35,42,49,7,14,27,36,44,19,33,43,52,22,34,42,50,25,32,38,44,15,23,31,39,20,30,39,47,24,32,39,47,29,34,39,44,16,26,34,5,20,30,39,10,19,28,37,16,19,24,30,9,17,17,8,15,24,22,14,17,24,29,25,24,26,8,26,10,10,16,30,18,16,18,38,31,28,28,34,17,10,10,38,24,18,16,45,38,34,31,18,29,38,5,16,26,35,12,13,19,25,10,19,22,7,9,17,28,20,18,18,9,32,15,8,8,39,29,24,21,41,24,15,8,48,38,32,27,17,27,37,7,10,17,24,10,19,23,13,10,12,9,33,23,16,13,42,31,25,19,12,20,28,8,15,7,0
13,26,37,44,43,59,68,75,43,61,72,81,40,57,67,77,34,45,53,60,13,25,31,32,48,57,64,33,52,62,71,31,49,59,68,27,39,47,54,11,18,21,36,45,52,23,41,51,60,24,39,49,58,23,33,40,47,6,13,26,35,41,18,32,42,51,21,32,41,50,24,30,36,42,14,23,31,37,19,30,39,47,23,31,39,47,28,32,37,42,16,25,32,5,20,30,39,9,18,28,37,16,18,23,28,8,16,17,7,15,24,21,13,17,24,29,24,23,25,7,25,9,9,16,30,17,15,19,37,30,28,27,32,15,9,11,36,22,17,17,44,36,33,31,18,29,38,5,15,25,35,12,13,18,24,10,19,22,7,9,17,29,21,18,18,9,32,15,8,9,39,30,25,22,41,24,15,8,48,38,33,28,17,27,37,7,9,16,23,10,19,23,14,11,12,9,34,23,18,14,43,32,26,21,11,19,26,7,14,7,0
12,26,37,45,43,59,68,76,43,62,72,82,40,57,68,77,35,46,53,60,13,25,32,32,48,58,66,34,53,63,73,32,49,59,68,28,40,47,54,11,19,21,36,46,54,24,42,52,61,25,40,50,58,24,34,41,48,7,14,26,35,43,19,33,43,52,21,33,42,50,25,31,37,43,15,23,30,38,20,30,39,47,24,32,40,47,29,34,39,43,16,25,33,5,20,30,40,9,19,28,36,16,18,23,29,9,17,16,8,16,25,21,14,18,24,29,25,25,27,7,25,10,10,17,30,18,16,19,37,31,30,29,33,16,10,11,37,23,19,18,45,38,35,33,18,29,38,5,15,25,34,12,13,18,24,10,20,22,7,9,16,29,21,19,19,9,32,16,9,9,39,30,26,24,42,25,16,10,48,39,34,30,17,27,36,7,10,16,23,10,19,23,14,12,12,8,33,23,18,15,42,32,26,21,11,18,25,7,14,6,0
12,25,37,45,43,60,70,79,43,63,74,84,40,58,68,78,34,46,54,61,13,25,33,33,50,61,69,35,54,65,76,33,51,61,71,29,41,49,56,11,19,22,38,48,57,25,43,54,64,25,41,51,61,25,36,43,50,7,15,28,38,46,20,35,45,55,23,35,44,53,26,34,40,46,16,24,33,41,22,33,42,51,26,34,42,50,31,36,41,47,17,27,35,5,21,32,42,11,20,29,38,18,20,25,31,10,18,18,9,17,26,23,15,19,25,31,27,27,29,8,27,12,11,18,32,20,18,20,40,34,32,32,36,18,11,12,40,26,20,19,48,41,38,36,19,30,40,6,16,26,36,14,14,19,25,11,21,23,8,9,17,30,23,20,20,10,34,17,9,9,41,32,28,25,44,26,17,10,51,41,36,32,17,28,38,8,10,17,24,10,20,24,15,12,13,9,35,24,19,15,44,33,27,22,12,19,27,7,15,7,0
13,26,38,45,44,60,71,79,43,63,75,85,40,57,68,78,33,45,53,60,13,25,32,33,50,60,69,34,54,65,75,32,49,60,70,28,39,47,55,11,18,22,37,47,56,24,42,54,64,24,40,50,59,24,34,41,48,7,16,28,38,46,20,35,45,55,23,35,44,52,27,33,39,45,18,26,35,42,23,34,43,52,28,36,43,51,33,37,42,47,16,27,35,5,20,32,42,11,19,28,37,18,20,24,29,10,19,18,8,17,26,23,15,18,25,32,27,27,28,8,28,11,10,17,33,20,18,20,42,35,33,32,36,18,11,12,41,27,21,20,50,43,39,37,19,31,41,6,15,25,35,14,14,19,24,11,21,24,9,9,17,32,24,21,21,10,35,18,11,10,43,34,30,26,45,28,19,12,53,44,38,34,17,28,38,8,10,16,23,10,20,24,15,12,13,9,35,25,19,15,45,34,28,22,11,19,27,7,15,7,0
13,27,39,47,45,61,72,80,44,64,75,85,40,58,69,78,34,46,53,61,14,26,33,34,50,61,69,34,54,65,75,32,50,60,70,28,40,48,55,11,19,21,37,47,56,24,42,53,63,24,39,50,59,24,34,41,48,7,15,28,37,46,19,34,44,54,22,34,43,51,26,33,39,45,17,25,34,42,23,33,42,51,27,35,42,50,32,37,42,48,16,27,35,5,20,31,41,11,19,28,37,18,20,25,30,10,18,18,8,16,26,24,15,18,25,32,27,27,29,8,28,11,10,17,33,20,17,20,42,35,33,33,36,18,11,11,41,27,21,19,50,42,39,37,19,31,41,6,15,25,35,14,14,19,25,11,21,23,8,9,17,32,24,21,21,10,35,18,10,10,43,34,29,26,45,28,18,11,53,43,38,34,17,28,38,8,10,17,24,10,20,25,15,12,14,9,35,25,19,16,45,34,28,23,12,20,27,7,15,7,0
12,26,37,45,44,61,71,80,43,63,74,85,39,57,69,79,32,44,51,59,14,25,33,34,51,61,70,35,55,66,77,32,50,62,72,27,39,47,55,11,18,22,39,48,57,25,43,54,65,25,41,51,62,24,34,41,49,7,17,30,40,48,21,37,47,57,24,36,46,55,28,35,41,47,19,28,36,44,25,36,45,54,29,37,45,54,34,39,44,50,17,27,36,5,21,32,42,11,19,29,39,19,20,25,30,10,18,19,9,16,26,25,15,18,26,34,29,29,31,8,28,12,11,18,35,21,18,22,44,37,36,35,37,19,12,13,43,28,22,21,52,45,42,40,20,31,42,6,16,26,37,15,15,19,25,11,22,25,9,9,18,33,26,23,23,10,36,18,10,10,44,36,32,29,46,28,18,11,55,45,41,36,18,30,40,9,10,16,24,11,22,26,17,14,15,10,37,27,22,19,48,37,32,26,12,19,27,7,15,7,0
11,26,37,44,42,60,70,79,43,63,75,85,40,58,69,79,34,45,53,60,15,27,34,34,51,62,71,36,56,68,78,34,53,64,74,30,42,49,57,12,18,21,37,47,56,24,43,55,65,25,42,52,62,25,35,42,49,6,13,26,36,45,18,34,44,54,21,34,43,53,25,32,37,44,12,21,31,39,18,30,40,49,23,32,40,49,28,33,38,43,17,27,36,5,22,33,43,11,21,31,40,17,20,25,31,10,19,18,10,18,28,23,16,20,28,31,27,28,29,8,28,12,12,19,33,20,19,23,41,35,33,33,36,18,11,14,41,27,21,21,49,42,40,38,20,32,42,5,17,27,38,13,14,19,25,11,21,24,8,10,18,31,24,21,21,10,35,17,10,11,42,34,30,27,45,27,17,11,52,43,38,34,18,29,39,7,10,16,23,10,21,25,16,13,13,10,35,26,20,17,46,35,29,24,11,19,26,7,14,7,0
